input_text,number
['HORTYUNDERSCORE'],289.0
['OLLIEGAMERZ'],798.0
['AVOIDINGTHEPUDDLE'],417.0
['강지 (RKDWL12)'],0.0
['SCRUFFOFTHENECK'],14.0
['おにや (ONIYADAYO)'],0.0
['NICOTHEO_OFF'],67.0
['S0MCS'],1282.0
['GRENBAUD'],642.0
['GREENRADOM'],51.0
['EMONGG'],1072.0
['ELSENORDELOSCIELOS8'],12.0
['SASATIKK'],1027.0
['MONSTERENERGY'],233.0
['SUPERGIRLGP'],621.0
['CLINTSTEVENS'],836.0
['PVFRANGO'],409.0
['BTSSMASH4'],268.0
['FRAMETAMER666'],1461.0
['XCUDI'],47.0
['ROSHTEIN'],1327.0
['WIRTUAL'],621.0
['NIMUVT'],1913.0
['IMLS'],992.0
['MUNDODEPORTIVO1906'],1030.0
['ZEALSAMBITIONS'],658.0
['STRIB'],130.0
['火暴可可 (XHIBAOGER)'],0.0
['REPAZ'],821.0
['JUVENTUS'],460.0
['AUSTIN_07'],16.0
['TWIIX_AL'],5.0
['VOODOOSH'],615.0
['ELISAWAVES'],569.0
['GOOFYWISE'],193.0
['BLUEANDQUEENIE'],53.0
['JAY3'],552.0
['XCHOCOBARS'],821.0
['ABSOLUTEHABIBI'],144.0
['IAMCRISTININI'],2831.0
['LETICIAXMOTTA'],79.0
['SABYSPARK'],9.0
['TFBLADE'],1305.0
['NEVER_LOSES'],483.0
['CALEBHART42'],326.0
['WELOVEGAMES'],867.0
['FOOLISH_GAMERS'],1726.0
['룩삼 (LOOKSAM)'],0.0
['POPO'],741.0
['MUHANJAN'],277.0
['삼식 (INECR7024)'],0.0
['RMCSPORT'],469.0
['RPGLIMITBREAK'],103.0
['TOLUNAYOREN'],1045.0
['FURKAN'],278.0
['LUQUITARODRIGUEZ'],438.0
['SUPERTF'],929.0
['SOYMOTOR'],281.0
['NORTHERNLION'],466.0
['SKILLZ0R1337'],155.0
['NAKOO_FN'],1009.0
['BECCA'],448.0
['老皮 (MOBILMOBIL)'],0.0
['DISTORTION2'],1023.0
['MRSAVAGE'],2484.0
['BJERGSENLOL'],554.0
['JUSTCOOMAN'],1373.0
['IWDOMINATE'],651.0
['ATOSMOCHIS'],0.0
['BLXCKOUTZ'],1758.0
['LVPCL'],97.0
['TRASHTASTEPODCAST'],324.0
['녹두로 (NOKDURO)'],0.0
['KOSSTOCHKA'],313.0
['RICOY'],1215.0
['허니츄러스 (HONEYCHURROS)'],0.0
['AVERAGEJONAS'],778.0
['ZELLSIS'],337.0
['RTGAME'],1645.0
['PENTA'],1055.0
['LAMEDIAINGLESA'],408.0
['GUACAMOLEMOLLY'],573.0
['ZYBLOL'],451.0
['LAINK'],590.0
['김도 (KIMDOE)'],0.0
['DJGAMERPLAYER'],10.0
['슈카월드 (TORONA1)'],0.0
['NEOFOX'],20.0
['SAFINEE'],820.0
['RUMATHRA'],563.0
['GIGGAND'],1055.0
['MOAUBA'],300.0
['LVPCOL'],87.0
['CHIGRE'],428.0
['ROCKETSTREETLIVE'],362.0
['김진우 (JINU6734)'],0.0
['KOIL'],601.0
['GETONMYLVLTV'],43.0
['FUSION88'],582.0
['LEODKN1'],12.0
['WERLYB'],720.0
['BROSSKIEZ'],165.0
['LANDONORRIS'],859.0
['PESTILY'],1246.0
['CHAP_GG'],630.0
['UNIVERSONOVELAS'],0.0
['PUTUPAU'],430.0
['THATVIOLINCHICK'],649.0
['ZONAGEMELOS'],149.0
['CABOCHARDLOL'],408.0
['YEJUNIVERSE'],495.0
['LUXIEGAMES'],219.0
['STOOPZZ'],546.0
['QUARTERJADE'],1889.0
['TOMMYINNIT'],4329.0
['GRANDPOOBEAR'],326.0
['KITBOGA'],726.0
['DREAMWASTAKEN'],566.0
['JAPANESEKOREANUG'],457.0
['GAFALLEN'],1031.0
['2K'],91.0
['BRUNENGER'],1505.0
['YLSANT'],30.0
['BRUCEGREENE'],185.0
['REZONFN'],491.0
['SETSUKOTFT'],450.0
['OMEDSUELO'],48.0
['LOSPOLLOSTV'],415.0
['ROCKY_'],809.0
['KURUMX'],105.0
['IM_DONTAI'],1781.0
['CYR'],615.0
['BT0TV'],307.0
['DESCONECTADOS_TV'],50.0
['97ZONER'],467.0
['ENVIOSITY'],736.0
['TOMMYINNITALT'],863.0
['SVETASOLLARR'],225.0
['MGG_FR'],156.0
['NATSUMIII'],485.0
['PHOTOCHESS'],590.0
['IKERCASILLAS'],490.0
['PIKABOOIRL'],831.0
['DEEPINS02'],1698.0
['ALBRALELIE'],624.0
['NNIRU'],756.0
['OTZDARVA'],1193.0
['BEYONDTHESUMMIT'],645.0
['KARLNETWORK'],1567.0
['UPSETGER'],189.0
['H3CZ'],171.0
['IMANTADO'],518.0
['IZAKOOO'],1490.0
['JUANJOGAMEPLAY'],100.0
['쉐리 (KSS7749)'],0.0
['RATIRL'],1045.0
['JINNYTTY'],826.0
['SHISHEYU_MAYAMOTO'],212.0
['BUGHA'],3454.0
['TODURORP'],285.0
['ANNACRAMLING'],1705.0
['LAKSHARTNIA'],1132.0
['PAOLOIDOLO'],681.0
['TIVIBUSPOR'],41.0
['TINAKITTEN'],1394.0
['VLESK'],467.0
['LCKCL'],116.0
['TCK10'],683.0
['LEONBRATT'],950.0
['PHILZA'],2331.0
['MOGTALK'],788.0
['FISHNOTHING'],75.0
['COREANO'],753.0
['ALESSIASANTERAMO'],1303.0
['LUCIID_TW'],112.0
['GAYMINGMAG'],131.0
['더플레이스튜디오 (THEPLAYSTUDIO)'],0.0
['AGENTEMAXO'],1105.0
['KARASMAI'],455.0
['HAZRETIYASUO'],898.0
['JUDD'],200.0
['CH14'],831.0
['TECTONE'],834.0
['TORONTOTOKYO17'],522.0
['BROXAH'],1238.0
['H2P_GUCIO'],973.0
['XARI'],237.0
['RIMA0326'],4.0
['LCO'],209.0
['STERZIK'],286.0
['ICECREAMUPLOADS'],4.0
['ROCIODTA'],401.0
['NRGGG'],155.0
['KAYDOP'],691.0
['SPAWNONME'],184.0
['AUSSIEANTICS'],1482.0
['FARFADOXVEVO'],1557.0
['CURTISRYAN'],258.0
['STAIY'],158.0
['CACHO01'],400.0
['VALORANT_BR'],370.0
['ARTY'],375.0
['JELTY'],2029.0
['ELMIILLOR'],1030.0
['AUNKERE'],1150.0
['SOYCHAPATV'],56.0
['BRKK'],1113.0
['AUZIOMF'],355.0
['MAYA'],1007.0
['NAGUURA'],331.0
['J4MOD'],8.0
['ADMIRALBAHROO'],813.0
['DALTOOSH'],947.0
['BARBAROUSKING'],449.0
['김뿡_ (BBONGE_)'],0.0
['ALE_APOKA'],593.0
['MAGIC'],406.0
['SPKCLB'],325.0
['MRDZINOLD'],1002.0
['MELHARUCOS'],527.0
['DRUTUTT'],760.0
['ARROZYDESGRACIAS'],306.0
['JENNYAN'],622.0
['ZILVERK'],1507.0
['XENOSYSVEX'],704.0
['SARTHE'],101.0
['小森めと (MET_KOMORI)'],0.0
['LEFRENCHRESTREAM'],127.0
['REVENTXZ'],898.0
['MANDE'],1505.0
['AA9SKILLZ'],588.0
['C_A_K_E'],1012.0
['ATT_OFICIAL'],155.0
['JIRAYALECOCHON'],520.0
['JONATHANONG'],116.0
['39DAPH'],1522.0
['BUCHER'],22.0
