ranking_popularity,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Esport_channel
515.0,A_N_I_N_Y_A,4521105.0,6495.0,12969.0,696.0,40667.0,20937.0,True,False,Russian,
516.0,DAYDREAMERDAN,1899855.0,6015.0,12951.0,315.0,16181.0,157.0,True,False,English,
517.0,파카9999 (PAKA9999),39733200.0,5085.0,12942.0,7813.0,427049.0,9654.0,True,False,Korean,
518.0,BLIZZB3AR,1662390.0,3015.0,12941.0,551.0,34259.0,476.0,True,False,English,
519.0,STRAY228,83547120.0,9705.0,12937.0,8608.0,1363485.0,18074.0,True,False,Russian,
520.0,SUMMONERSINNLIVE,25309140.0,3780.0,12924.0,6695.0,581401.0,2711.0,True,False,German,Yes
521.0,RIOTGAMESTURKISH,14587425.0,4155.0,12905.0,3510.0,834695.0,2713.0,True,False,Turkish,Yes
522.0,VEIBAE,32542605.0,4635.0,12859.0,7021.0,991048.0,6198.0,True,True,English,
523.0,LOLIPOPGI,2200140.0,4080.0,12842.0,539.0,21050.0,295.0,True,True,English,
524.0,ABUGOKU9999,73084095.0,12510.0,12837.0,5842.0,430402.0,21880.0,True,False,German,
525.0,世誠 (BBBB87),33641505.0,7710.0,12829.0,4363.0,131765.0,1891.0,True,True,Chinese,
526.0,KARCHEZ,11760525.0,5310.0,12827.0,2214.0,1432448.0,50399.0,True,False,Spanish,
527.0,DINABLIN,7815210.0,4140.0,12798.0,1887.0,424497.0,504.0,True,False,Russian,
528.0,연초봄 (YEONCHOBOM),1401945.0,1845.0,12785.0,759.0,82261.0,741.0,True,False,Korean,
529.0,ボドカさん (VODKAVDK),38207745.0,11895.0,12750.0,3212.0,299172.0,16907.0,True,False,Japanese,
530.0,SANNIHALLA,5730615.0,2940.0,12738.0,1949.0,43846.0,2236.0,True,False,English,
531.0,JACAREPEREIRA,3955440.0,12600.0,12704.0,313.0,28736.0,10409.0,False,True,Portuguese,
